comment,label,processed,processed_baku
Apakah sore ini sedang Trouble?,0,sore sedang trouble,sore sedang
Sandi tersimpan sidik jari lebih memudahkan penguna,1,sandi simpan sidik jari mudah penguna,sandi simpan sidik jari mudah
"Sangat bagus, terbaik diantara sejenis",1,bagus baik jenis,bagus baik jenis
"Sangat membantu, jaga keamanan & kepuasan konsumen yaah.. thx",1,bantu jaga aman puas konsumen yaah terimakasih,bantu jaga aman puas konsumen terimakasih
"Kaga ada apa apa, tiba tiba bca id keblokir. Dikata admin di balasan ulasan internet masalah, lah mbca aja dan buka semua situs yang lain lancar kaga ada masalah cuma mybca ini yang diblokir padahal kaga ngapa ngapain. Lucu template banget balesan ulasannya sekelas bca.",-1,kaga apa tiba bca id blokir admin balas ulas internet lah mbca aja buka situs lain lancar kaga masalah mybca yang blokir kaga ngapa ngapain lucu template banget balesan ulas kelas bca,ada apa tiba id blokir admin balas ulas mbca aja buka situs lain lancar ada masalah cuma ini blokir kaga ngapain lucu banget ulas kelas
"Parah ribet, lupa password aja pake tlp dulu padahal belum terblokir",-1,parah ribet lupa password aja pake tlp padahal blokir,parah lupa aja tlp padahal blokir
Semoga ditingkatkan lgi fiturnya,1,moga tingkat lgi fiturnya,moga tingkat fiturnya
Transaksi di Mbca tidak tercatat di mutasi mybca knp bisa bgtu ?,-1,transaksi mbca tidak catat mutasi mybca bisa bgtu,transaksi mbca tidak catat mutasi kenapa bisa
"bahagiaaaaaa bangt,dikasih kemudahan lewat my bca ga usah antri lagi mau deposit berjam jam dengan sekli klik di my bca",1,bahagiaaaaaa bangt kasih mudah my bca tidak antri mau deposit jam jam sekli klik my bca,bangt kasih mudah my tidak antri mau deposit jam jam sekli klik my
Sangat membantu,1,bantu,bantu
"Masih bingung pakenya, kalau kita mau trf hr butuh token kah ? Dan tokennya sm or gak sm token int banking ya ?",0,bingung pakenya kita trf hr butuh token kah tokennya sm or tidak sm token int banking ya,bingung kalau mau hr butuh kah tokennya or tidak token banking
Aq slalu bangga menggunakan rek BCA cepat akurat dan nyaman. Terima kasih BCA.,1,aq slalu bangga guna rek bca cepat akurat nyaman terima kasih bca,slalu bangga guna rek cepat akurat nyaman terima kasih
Tampilan lebih nyaman,1,tampil nyaman,tampil nyaman
"tiap kali login,harus kirim sms berbayar 760,kalo 3x ya jelas malah bangkrut",-1,kali login kirim sms bayar kalo x ya jelas bangkrut,kali harus kirim bayar kalo ya jelas bangkrut
Cukup sulit penggunaan,-1,sulit guna,sulit guna
Solusi tepat gak ribet gampang d gunakan,1,solusi tidak ribet gampang d guna,solusi tidak gampang guna
Daftar hbisin pulsa... Ujung2nya gagal.. Saya pke brimo n bni mobile.. Oke stiap transaksi.. My BCA hpus aja dri playstor,-1,daftar hbisin pulsa ujung nya gagal pke brimo n bni mobile oke stiap transaksi my bca hpus aja dri playstor,daftar pulsa ujung gagal pke n mobile oke transaksi bca aja playstor
Harus verfikasi terus tapi gagal terus hadeuh,-1,verfikasi tapi gagal hadeuh,verfikasi tapi gagal hadeuh
"Parah sih. Buka rek bca buat trx di mybca. Yg di dpt malah zonk. Udh buat bca id. Aktivasi di email. Call hallo bca. Wktu dftrin kartu atm diblg ops.. ada kesalahan. Disrh cb berkala. Smp sore ini jg msh ga bs akses. Call hallo bca,smp nsbh yg paksa input pengaduan nsbh (pic: Ayum/Ayom). Kesalahan di siapa? Sistem bca ato nsbh? Dr pagi buka rek dpn cs (pic: Indri - KCP semarang)-jam 18.25 jg tetep ga bs dftrin kartu atm nya. Hufttttt..",-1,parah sih buka rek bca trx mybca dpt zonk udh bca id aktivasi email call hallo bca wktu dftrin kartu atm diblg ops salah disrh cb smp sore jg msh tidak bisa akses call hallo bca smp nsbh paksa input adu nsbh pic ayum ayom salah di siapa sistem bca ato nsbh dr pagi buka rek dpn cs pic indri kcp semarang jam jg tetep tidak bisa dftrin kartu atm nya hufttttt,parah sih buka rek buat yang dpt zonk buat id di email hallo wktu kartu diblg ada salah cb smp sore tidak bisa akses hallo smp yang paksa adu ayum ayom salah di siapa sistem ato dr pagi buka rek cs pic indri semarang jam jg tetep tidak bisa kartu nya
Ga berguna.,-1,tidak guna,tidak guna
Repot habisin pulsa,-1,repot habisin pulsa,repot pulsa
Sangat membantu,1,bantu,bantu
Sangat membantu dlm transaksi online,1,bantu dlm transaksi online,bantu transaksi
Ringkas dan sangat membantu,1,ringkas sangat bantu,ringkas sangat bantu
Mau registrasi aja susah...,-1,registrasi aja susah,registrasi aja susah
Saya mau login ajah susah nunggu 2 hari ya gak ada respon,-1,mau login ajah susah nunggu ya tidak respon,mau ajah susah hari tidak respon
Cepat Tanggap Pemblokiran Rek nya.,1,cepat tanggap blokir rek nya,cepat tanggap blokir rek
Kalau sudah ada fitur bca flazz gass bintang 5. Percuma fitur standar2 aja.,1,sudah fitur bca flazz gass bintang fitur standar aja,sudah fitur flazz bintang fitur standar aja
Sangat bermamfaat penunjang bisnis,1,manfaat tunjang bisnis,manfaat tunjang bisnis
Sangat membantu kelancaran usaha.,1,bantu lancar usaha,bantu lancar usaha
Pengen registrasi lagi tpi takut sering terblokir kya wktu itu. Repot ngurus ngurusnya,-1,ken registrasi tpi takut blokir kya wktu repot ngurus ngurusnya,ken registrasi tpi takut blokir wktu repot ngurusnya
Dikit2 minta SMS.. Login finger print aja g pake repot dan g pake potong Pulsa,-1,dikit sms login finger print aja tidak pake repot tidak pake potong pulsa,dikit sms finger aja tidak repot tidak potong pulsa
Pengalaman sy di saat mendarai mobil,0,alam sy saat dara mobil,alam di dara mobil
Ribet amat tidak seperti mbaking BCA mau pakai my BCA harus kirim SMS berapa kali jadi berapa kali pulsa kepotong dan harus verifikasi diri lagi di suruh telepon ke cs buang waktu sama pulsa aja,-1,ribet tidak mbaking bca pakai my bca kirim sms kali berapa kali pulsa potong harus verifikasi lagi suruh telepon cs buang sama pulsa aja,amat tidak mbaking mau pakai bca kirim berapa kali berapa kali pulsa potong harus verifikasi lagi suruh telepon cs buang sama pulsa aja
"dah donlot gak bisa pakai registrasi pakai aplilasi my bca ini,wah payah ya",-1,dah donlot tidak bisa pakai registrasi pakai aplilasi my bca wah payah ya,dah tidak bisa pakai registrasi pakai my ini payah
Spert Bca Mobile dong klo Transfer ke bca digital fee biaya ini klo pakai my bca kena biaya,-1,spert bca mobile klo transfer bca digital fee biaya klo pakai my bca kena biaya,bca dong transfer bca digital biaya klo pakai bca kena biaya
Mudah dan singkat,1,mudah singkat,mudah singkat
MANTAP...SEKARANG SUDAH BISA LOGIN PAKAI SIDIK JARI,1,mantap sudah bisa login pakai sidik jari,mantap sudah bisa pakai sidik jari
sarannya kalau bisa free by trf ke bank lain.,0,saran bisa free by trf bank lain,saran bisa by ke bank lain
Saran di mutasi rekening biar lebih jelas waktu transaksi d tampilkan jam menit detik.,0,saran mutasi rekening biar jelas transaksi d tampil jam menit detik,saran mutasi rekening biar jelas transaksi tampil jam menit detik
"Cara resert pin mybca dmana yah,, sya udh call hallo bca tp ttp nga bsa masuk k akun sya,, tlong kak admint d bantu..",0,resert pin mybca dmana yah sya udh call hallo bca tp ttp tidak bisa masuk k akun sya tolong kak admint d bantu,resert pin dmana call bca ttp tidak bisa masuk akun sya tolong kak d bantu
Nguras pulsa buat masuk doang,-1,nguras pulsa masuk doang,pulsa masuk doang
Sering lepas dari akun kenapa ya,-1,lepas akun ya,lepas akun ya
Gabisa donwload mutasi,-1,tidak bisa donwload mutasi,tidak bisa mutasi
Ekpresi bisa transfer 100juta,1,ekpresi bisa transfer juta,bisa transfer juta
Dg aplikasi sgat memudahkan bisnis kami mengelola finansial kami,1,dg aplikasi sgat mudah bisnis kelola finansial,aplikasi mudah bisnis kelola finansial
Bagus dan gampang di jalanin,1,bagus gampang jalanin,bagus gampang jalanin
Praktis cepat jelas,1,praktis cepat jelas,praktis cepat jelas
myBCA saya terblokir waktu menghubungi halobca malah di suruh nunggu lama trus tiba tiba telfon di matikan. Pelayanan nya kog gitu,-1,mybca blokir hubung halobca suruh nunggu lama trus tiba telfon di mati layan nya kog gitu,saya blokir hubung malah suruh lama tiba telfon mati layan kog
Sajauh ini enak pakai app my bca,1,sajauh enak pakai app my bca,ini enak pakai my
Apl inu sangat membantu sekali terima kasih,1,apl inu bantu terima kasih,inu bantu terima kasih
Setelah berhari hari gabisa masuk akhirnya bisa juga,1,hari tidak bisa masuk bisa,hari tidak bisa masuk bisa
Ops terjadi kesalahan silakan coba lagi,-1,ops salah sila coba,jadi salah sila coba
Ternyata belum aktif.. Masih percobaan.. Ga bisa register...,-1,nyata aktif coba tidak bisa register,nyata aktif coba tidak bisa register
Keren banget 1 aplikasi untuk semua akun di bca,1,keren banget aplikasi semua akun bca,keren banget aplikasi semua akun bca
kenapa saya tidak bisa tekan lanjut ketika daftar?,0,saya tidak bisa tekan ketika daftar,saya tidak bisa tekan ketika daftar
Aplikasi terparah otp nya bolak balik..,-1,aplikasi parah otp nya bolak,aplikasi parah nya bolak
Oalah bca sudah benar aplikasi yg awal2 kenapa dibikin ribett eyy Payah....,-1,oalah bca benar aplikasi awal bikin ribett eyy payah,bca benar aplikasi awal bikin eyy payah
Masuk log susah banget,-1,masuk log susah banget,masuk log susah banget
"Saya kecewa menjadi nasabah BCA,pihak BCA memblokir Dana saya secara sepihak tampa mengklarifikasi dan mengkonfirmasi saya terlebih dahulu",-1,kecewa nasabah bca bca blokir dana cara tampa klarifikasi konfirmasi lebih,kecewa nasabah blokir dana cara pihak tampa klarifikasi konfirmasi lebih
Aplikasi yang sangat membantu,1,aplikasi sangat bantu,aplikasi sangat bantu
Sangat membantu sekali,1,bantu,bantu
sudah regist kok regist teruss. mau login kembali ke menu regist ... hadehhh,-1,regist regist teruss login ke menu regist haduh,regist mau kembali menu regist haduh
Sms terus ....kapan masuk aplikasinya aplikasi login pakai sms apa pakai Akun di permudakan lagi,-1,sms kapan masuk aplikasi aplikasi login pakai sms pakai akun muda,terus masuk aplikasi aplikasi pakai apa pakai akun muda
Bagus dan enak pake my BCA 2 rek bisa jadi satu aplikasi,1,bagus enak pake my bca rek bisa satu aplikasi,bagus enak my rek bisa satu aplikasi
Mau ngirim sms verivikasi aja susah nggak bisa2,-1,ngirim sms verivikasi aja susah tidak bisa,ngirim verivikasi aja susah tidak bisa
Sangan luar biasa bca membantun,1,sangan luar bca bantun,sangan luar bca bantun
"Tiap hari BCA id terblokir ! mau suruh nelp Cs Tiap hari gitu ?? Tolong perbaiki, belom ada 24jam sudah keblokir lagi tanpa alasan jelas !",-1,hari bca id blokir suruh nelp cs hari gitu tolong baik bom jam blokir tanpa alas jelas,hari id blokir suruh cs hari tolong baik bom jam blokir tanpa alas jelas
"Min kemarin aku coba instal lagi udah verifikasi pakai sms kenapa ujung"" Nya harus telp Call Center pulsaku habis verifikasi gagal 👎☹👎",-1,min kemarin coba instal udah verifikasi pakai sms ujung nya telp call center pulsa habis verifikasi gagal,min kemarin coba lagi verifikasi pakai kenapa ujung harus call pulsa habis verifikasi gagal
Kenapa tidak bisa login,-1,tidak bisa login,tidak bisa
"Parah ini aplikasi,bikin ribet mau tf rp 2500 aja enggak bisa bisa mendingan dihapus aja",-1,parah aplikasi bikin ribet tf rp aja tidak bisa bisa mending hapus aja,parah aplikasi bikin mau rp aja tidak bisa bisa mending hapus aja
sayang belum bisa buat bayar tagihan,-1,sayang bisa bayar tagih,sayang bisa bayar tagih
Semoga lebih bisa meningkatkan pelayanan nya pada nasabah,0,moga bisa tingkat layan nya nasabah,moga bisa tingkat layan pada nasabah
"Setiap mau pake, hrs pake otp sms kode. Ribet.",-1,mau pake hrs pake otp sms kode ribet,mau hrs otp kode
Sangat menguntungkan..terima kasih bca,1,untung terima kasih bca,untung terima kasih
Bos gimana caranya untuk megakrifkan kembali pin yg terblokir mbangking. Mohon bantuannya bos,0,bos gimana untuk megakrifkan pin blokir mbangking mohon bantu bos,bos cara megakrifkan pin blokir mohon bantu bos
Ayo segera ditambah fitur ya,1,ayo tambah fitur ya,ayo tambah ya
Bintang 3 dulu. Apakah aplikasi myBCA pengganti aplikasi BCA Mobile atau memiliki fungsi berbeda?,0,bintang apakah aplikasi mybca ganti aplikasi bca mobile milik fungsi beda,bintang apakah aplikasi ganti aplikasi mobile milik fungsi beda
Tidak bs dibuka update apalagi?!,-1,tidak bisa buka update,tidak bisa buka apalagi
aplikasinya rusak ya nga bs buat transfer,-1,aplikasi rusak ya tidak bisa transfer,aplikasi rusak tidak bisa transfer
"Ini yg saya inginkan,bisa mengakses bbrp Rekening BCA cukup menggunakan 1 Akun",1,yang ingin bisa akses bbrp rekening bca guna akun,yang ingin bisa akses rekening cukup guna akun
Aplikasi sangat berguna sekali dan bagus,1,aplikasi guna dan bagus,aplikasi guna dan bagus
"Sangat membantuu , sampaii sekarang tidak ada kendala. .",1,membantuu sekarang tidak kendala,membantuu sekarang tidak kendala
tampilan yang lebih menarik,1,tampil lebih tarik,tampil lebih tarik
Kurang oks daftar rekening baru hrs lewa t pulsa sms,-1,oks daftar rekening baru hrs lewa t pulsa sms,oks daftar rekening baru lewa pulsa
Tolong perbaiki sistemnya,-1,tolong baik sistem,tolong baik sistem
Mau login di suruh verifikasi ke 1500888 pas nelpon eh mbak operatornya nya bingung... My bca ini salah satu dari benerapa hal yg merusak citra Bank BCA 😂😅,-1,login suruh verifikasi pas nelpon eh mbak operator nya bingung my bca salah dari benerapa yang rusak citra bank bca,login suruh verifikasi pas eh mbak operator bingung salah dari hal rusak citra bank bca
Saran update: tambahkan fitur fingerscan login,0,saran update fitur fingerscan login,saran tambah fingerscan
Bca mobile versi lamanya mana ? Kok di pencarian playstore gak ada ?,-1,bca mobile versi lama kok cari playstore tidak,mobile versi lama kok cari tidak
"Mempermudah ,satu aplikasi 2 rekening",1,mudah aplikasi rekening,mudah aplikasi rekening
Sangat berguna limit transfer sampai 250jt,1,guna limit transfer jt,guna limit transfer jt
Saran sih..bisa buka tabungan berjangka di my bca..biar lebih lengkap ajh..gtu...solusi untuk klik bca yg keblokir,1,saran sih bisa buka tabung jangka my bca biar lengkap ajh gtu solusi klik bca blokir,saran sih bisa buka tabung jangka my biar lengkap gtu solusi klik yang blokir
Saya ganti hp malah ribet tuk bikin mobile banking lagi BCA ID dan password ko tidak bisa lagi,-1,ganti hp ribet tuk bikin mobile banking bca id password ko tidak bisa,ganti malah tuk bikin banking bca dan ko tidak bisa
"mantab, aplikasi nya bagus .",1,mantab aplikasi nya bagus,aplikasi bagus
Tambah fitur login pakai fingerprint atau face id,0,fitur login pakai fingerprint face id,fitur pakai atau id
Masih bagus aplikasi yang lama ribet,-1,bagus aplikasi lama ribet,bagus aplikasi lama
Luar biasa Bank BCA bertransaksi cepat dan nyaman,1,luar bank bca transaksi cepat nyaman,luar bank transaksi cepat nyaman
"Mantap,, aktivasi Harus Call Hallo bCA yg Makan Pulsa gede..👍",-1,mantap aktivasi call hallo bca makan pulsa gede,mantap harus hallo yang makan pulsa gede
Turun bintang dulu karena login harus konfirmasi dulu ke CS HaloBCA. Ribet dah mending pakai versi web saja...,-1,turun bintang karena login konfirmasi ke cs halobca ribet dah mending pakai versi web,turun bintang karena harus konfirmasi ke halobca dah mending pakai versi saja
"memyusahkan verifikasi gak kelar"" di tlp ke halo bca di tanya lengkap berkali"" bosan saya!!",-1,memyusahkan verifikasi tidak kelar tlp halo bca tanya lengkap kali bosan,verifikasi tidak kelar tlp halo di lengkap kali bosan
Untuk setor tunai dan tarif tunai apakah tidak ada ?,0,setor tunai tarif tunai tidak,setor tunai tarif tunai tidak
"Mantap aplikasi, sangat membantu 👍",1,mantap aplikasi bantu,mantap aplikasi bantu
Kenaoa mesti begini sih mybca bikin ribet org aja...nyesel pake ini mau gampang malah tamvah ribet.,-1,kenaoa mesti sih mybca bikin ribet org aja nyesel pake mau gampang tamvah ribet,mesti sih bikin org aja pake mau gampang tamvah
"Mengulang, mengulang, dan mengulang... Hasilnya, nothing",-1,ulang ulang ulang hasil nothing,ulang ulang ulang hasil
"Segala urusan perbankan jadi mudah dan menyenangkan, BCA Hebattt....",1,urus perban mudah senang bca hebattt,urus perban mudah senang hebattt
Mantap pelayanan yang terbaik untuk masyarakat luas,1,mantap layan baik masyarakat luas,mantap layan baik masyarakat luas
Baik juga sangat luarbiasa,1,baik sangat luarbiasa,baik sangat
Jgn minta maaf bank baaank.. tpi betuliiin.. jgn nuieih ngap date bank baaank.. yg pake aplikasi BCA gk ada yg O'On.. kalopun ada yg renta² pasti d bantu sama yg muda².. yg pake BCA tuh bukan org² biasa,-1,minta maaf bank baaank tpi betuliiin nuieih ngap date bank baaank pake aplikasi bca tidak o on kalo yang renta d bantu yang muda yang pake bca tuh org,minta maaf bank tpi jangan ngap bank aplikasi tidak yang on kalo yang renta d bantu yang muda yang pake tuh org
"Tiba tiba terblokir aplikasi gajelas , gimana ini kalo terblokir begini",-1,tiba blokir aplikasi gajelas gimana kalo blokir,tiba blokir aplikasi gimana kalo blokir
Saat memasukan no.kartu selalu gagal,-1,pasu no kartu gagal,pasu kartu gagal
Id bca dan paswoard salah trus suruh ulanh ulang.padahal menurutku sdah benar dan jelas !,-1,id bca paswoard salah trus suruh ulanh ulang turut sdah dan jelas,bca paswoard salah suruh ulang turut benar jelas
Terima kasih saya jadi begitu mudah bertransaksi,1,terima kasih jadi mudah transaksi,terima kasih jadi mudah transaksi
Sukses terus buat BCA no 1 layanannya TOP bgd,1,sukses buat bca no layan top bgd,sukses buat no layan top
Pelayanan sangat bagus,1,layan bagus,layan bagus
Payah minta sms register terus tiap buka apk ini,-1,payah sms register tiap buka apk,payah sms register tiap buka ini
Mudahan fitur Cardless segera ditambahin,1,mudah fitur cardless ditambahin,mudah cardless ditambahin
Sangat membantu sekali,1,bantu,bantu
"Buruk sekali, gak bisa di gunakan",-1,buruk tidak bisa guna,buruk tidak bisa guna
password dan id di anggap salah kenapa ya?,0,password id anggap salah ya,dan di anggap salah ya
Gak biaa login malah menguras pulsa,-1,tidak biaa login uras pulsa,tidak login uras pulsa
"Hp sama nmer sama buat ap dibuat susah tinggal vermuk saja kl salah pin ,maaf kl salah menilai",-1,hp nmer ap buat susah tinggal vermuk kl salah pin maaf kl salah nilai,sama sama ap susah tinggal saja salah pin maaf salah nilai
Cs nya sama konfrim ngg ramah bgt👎,-1,cs nya konfrim ngg ramah bgt,nya konfrim ramah
Susah registrasi gagal terus ngabisin pulsa,-1,susah registrasi gagal ngabisin pulsa,susah registrasi gagal ngabisin pulsa
Ganguan terus mau login tapi pulsa di sedot apk gembel,-1,ganguan mau login pulsa sedot apk gembel,terus login pulsa sedot gembel
"Keren sih, cuman harus modal pulsa",1,keren sih cuman modal pulsa,keren sih cuman modal pulsa
Kalau bisa tarik tunai dari mybca ok nih. Fitur dr bca mobile pindah sini semua gimana?,1,bisa tarik tunai mybca ok fitur dr bca mobile pindah semua gimana,bisa tarik tunai mybca nih dr mobile pindah semua
"Registrasi berulang ulang,tetap aja jawabannya email salah",-1,registrasi ulang ulang aja email salah,registrasi ulang ulang aja email salah
Mau tanya bca mobile sama my bca apakah sama fungsi nya untuk transfer juga?,0,tanya bca mobile my bca sama fungsi nya transfer,tanya mobile my apakah fungsi untuk transfer
"Aplikasi ribet, kebanyakan verifikasi",-1,aplikasi ribet verifikasi,aplikasi banyak verifikasi
Aplikasi Mybca sangat bagus...sangat membantu,1,aplikasi mybca bagus bantu,aplikasi bagus sangat bantu
"Keren bca,, makin mudah kontrol bbrp norek di 1 aplikasi Segera di update lg agar bisa menikmati fitur yg ada di mbanking bca di mybca",1,keren bca mudah kontrol bbrp norek aplikasi update lg bisa nikmat fitur ada mbanking bca di mybca,keren makin mudah kontrol norek aplikasi lg bisa nikmat yang di bca di mybca
Udah kirim sms aktivasi tapi gak ada masuk email. Nyesall kali taii,-1,udah kirim sms aktivasi tidak masuk email nyesall kali taii,kirim aktivasi tidak masuk email kali
Aplikasi ini memberikan yang terbaik buat bisnis saya,1,aplikasi beri baik bisnis,aplikasi beri baik bisnis
Semakin jelek aja........,-1,jelek aja,jelek aja
Kenapa ya padahal saya masukin password benar ko keblokir ??,0,ya saya masukin password ko blokir,ya saya password ko blokir
Aplikasi sangat bagus,1,aplikasi bagus,aplikasi bagus
Ditunggu untuk fitur selanjutnya,1,tunggu fitur,tunggu fitur
Tambahkan fingerprint donk min,1,fingerprint donk min,fingerprint min
"Oalahh aplikasi tolol..sudah aktivitasi, minta aktivasi lagi 💩",-1,oalahh aplikasi tolol aktivitas aktivasi,aplikasi tolol aktivitas aktivasi
Gk jelas. Tau tau di blokir ajh. Tolong dong jangan seperti itu.. gk ada pemberitahuan apa apa. Tau tau di blokir aja. Di suruh tlp ke costumer servis bca,-1,tidak jelas tau tau blokir ajh tolong jangan itu tidak pemberitahuan apa tau tau blokir aja suruh tlp costumer servis bca,tidak jelas tau tau blokir tolong jangan itu tidak pemberitahuan apa tau tau blokir aja suruh ke servis
"Bagus, saya lebih digunakan dalam bertransaksi",1,bagus lebih guna transaksi,bagus lebih guna transaksi
siapa yang download aplikasi ini sesudah nonton video david gadgetin ??,0,yang download aplikasi sudah nonton video david gadgetin,yang aplikasi sudah video gadgetin
Kenapa Saya Tidak Bisa Daftar & login myBCA,-1,saya tidak bisa daftar login mybca,saya tidak bisa daftar mybca
Terus saja verivikasi sms . Ampe abis pulsa,-1,saja verivikasi sms ampe abis pulsa,saja sms ampe abis pulsa
"BCA HEBAT,,TERIMAKASIH BCA,,🙏🙏 saya merasa sangat terbantu dengan aplikasi ini",1,bca hebat terimakasih bca rasa bantu aplikasi,hebat bca rasa bantu aplikasi
"SAYA TIDAK ADA GANTI DEVICE SAMA SEKALI MALAH DIMINTA VERIF ULANG. TELFON KE HALOBCA KATA CS TERDETEKSI DEVICENYA BERGANTI. SAYA BILANG KE CS, TIDAK ADA DEVICE BERGANTI SAMA SEKALI. JAWABANNYA : TETAPI DATA DISINI MENUNJUKKAN DEVICENYA BERGANTI. KECEWA BENER KECEWA MANA PROSESNYA SAMPAI 2 HARI DAN MENUNGGU DITELFON BALIK. SAYA BUTUH CEPAT UNTUK MELAKUKAN TRANSAKSI TETAPI KENAPA BISA SEPERTI INI YAA TOLONG TANGANI INI JIKA TIDAK INGIN APLIKASI INI UNDER RATING",-1,tidak ganti device sekali minta verif ulang telfon halobca cs deteksi devicenya ganti bilang cs tidak device ganti sekali data tunjuk devicenya ganti kecewa bener kecewa proses hari tunggu ditelfon saya butuh cepat laku transaksi tetapi kenapa bisa yaa tolong tangan jika tidak aplikasi ini under rating,tidak ganti malah verif ulang kata deteksi ganti bilang ke cs tidak device ganti sama sekali data tunjuk ganti kecewa kecewa proses hari tunggu balik butuh cepat laku transaksi tetapi kenapa bisa tolong tangan jika tidak aplikasi ini under
Saya suka dgn bank bca ini,1,suka dgn bank bca,suka bank ini
ENAKAN YANG LAMA SETELAH KIRIM SMS LANGSUNG BISA TIDAK PERLU HUBUNGI BCA KARNA MEMPERSULIT DAN MALAH BIKIN RUGI PULSA,-1,enak lama kirim sms langsung bisa tidak hubung bca sulit malah bikin rugi pulsa,enak lama kirim langsung bisa tidak hubung karena sulit malah bikin rugi pulsa
"Tambahin login pake finger print dong, kaya toko sebelah",-1,tambahin login pake finger print kaya toko belah,login finger dong kaya toko belah
Dibuat bisa login pake fingerpint spy ky app bank digital yg lain,-1,bisa login pake fingerpint spy ky app bank digital lain,bisa pake spy app bank digital lain
"Susah mau verifikasi id, dah 2x gagal terus",-1,susah verifikasi id dah x gagal,susah verifikasi dah gagal
"Bagus, hanya saja belum bisa menggantikan M-Bca",1,bagus saja bisa ganti m bca,bagus saja bisa ganti bca
Aplikasinya keren dan sangat bagus,1,aplikasi keren sangat bagus,aplikasi keren sangat bagus
Cara registration nya gimana sih gagal mulu,-1,registration nya gimana sih gagal mulu,registration gimana sih gagal
User id keblokir mulu. Padahal ga lg dipake dan ga salah password.. Ckckck,-1,user id blokir mulu tidak lg dipake tidak salah password ckckck,id blokir padahal tidak dipake tidak salah ckckck
Mengapa tidak ada login dengan sidik jari?,0,tidak login sidik jari,tidak login sidik jari
"Aplikasi bagus . Terus berinovasi BCA, demi kenyamanan Nasabah",1,aplikasi bagus inovasi bca nyaman nasabah,aplikasi bagus inovasi demi nyaman nasabah
Bagus lohh. Tampilanya lebih kerenn..,1,bagus lohh tampilanya kerenn,bagus tampilanya kerenn
"Pas msukin no krtu atm knpa ya gagal trus min ,nomer juga yg di mskin buat verifikasi no yg terdaftar di m-banking",-1,pas msukin no krtu atm ya gagal trus min nomer mskin verifikasi no yang daftar m banking,pas atm ya gagal min juga buat verifikasi no yang daftar di m
bagus skl pelayananja. menanggapi,1,bagus skl pelayananja tanggap,bagus pelayananja tanggap
Habis pulsa ku mau login ga bisa terus,-1,habis pulsa ku login tidak bisa,habis pulsa mau tidak bisa
"Good, ga pernah kecewa sama BCA",1,good tidak kecewa bca,tidak kecewa bca
Apa bedanya sama mbangking ? Klo sama tp lengkap saya mbangkingnya mau di hapus,0,beda mbangking klo tp lengkap mbangkingnya di hapus,beda mbangking sama lengkap mbangkingnya di hapus
"Klau blm punya ad ,atau rekening lama yg sdah lama tdak d pakai msih bsa daftar gx ,wkt tu udh nyoba tpi gx ngerti sma nama id yg d mksud",0,klau punya ad rekening lama sdah lama tidak d pakai msih bisa daftar tidak wkt tu udh nyoba tpi tidak ngerti sma nama id d mksud,belum ad rekening lama sdah lama tidak pakai bisa daftar tidak tu nyoba tidak sma nama yang mksud
Aplikasi terburuk yg pnh saya coba. Kalo bgini trus sy mau pindah bank,-1,aplikasi buruk pnh coba kalo bgini trus sy pindah bank,aplikasi buruk pnh coba kalo trus mau pindah bank
Daftar awal aja udah ribet,-1,daftar aja udah ribet,daftar aja ribet
Ribet banget dah masukin pin key kode padahal dah bener ampe salah 3x keblokir akhirnya,-1,ribet banget dah masukin pin key kode dah bener ampe salah x blokir,banget dah pin kode dah ampe salah blokir
Mohon solusinya bapak/ibu saya kan ganti HP kalau lupa nicknamenya gmn ya.. apakah harus ke bank atau gmn.. mohon feed backnya terima kasih,0,mohon solusi ibu kan ganti hp lupa nicknamenya gmn ya harus bank gmn mohon feed backnya terima kasih,mohon solusi ibu kan ganti kalau lupa gmn apakah ke bank gmn mohon backnya terima kasih
Aplikasi bagus Tapi kok Bca id saya terblokir? Yowes pake aplikasi BCA yg 1nya aja. Bye bye mybca,-1,aplikasi bagus kok bca id blokir yowes pake aplikasi bca nya aja bye bye mybca,aplikasi bagus kok id blokir pake aplikasi yang aja bye
Keren aplikasinyaa... bca makin terdepan makin jayaa ... 😍😍,1,keren aplikasinyaa bca depan jayaa,keren bca depan jayaa
ganti perangkat malah di suruh verifikasi via call smntara mau isi pulsa hrus login dlu ke my bca / mbca .. haish pdhal tinggal minta verif KTP aja kya app bank sebelah .. dah lah .. males,-1,ganti perangkat di suruh verifikasi via call smntara isi pulsa hrus login dlu my bca mbca haish pdhal tinggal verif ktp aja kya app bank belah dah males,ganti perangkat di suruh verifikasi via smntara isi pulsa login ke bca haish tinggal verif aja app bank belah dah males
"Bagus lebih Enak dari M-BCA, Meski ada Fitur yg nunggu Update Scan QR",1,bagus enak m bca ada fitur nunggu update scan qr,bagus enak m meski fitur nunggu scan
Menarik dan memudahkan,1,tarik mudah,tarik mudah
Ok tp sayang menu pembayaran blm ada.,1,ok tp sayang menu bayar ada,tp sayang menu bayar ada
Tambahkan dari saya semoga Bisa ada menu Ambil uang seperti M.bangking BCa Mobile ..di tunggu update terbaru nya ..Tks,1,dari moga bisa menu ambil uang m bangking bca mobile tunggu update baru nya tks,dari moga bisa menu ambil uang m bangking mobile tunggu baru tks
"Kenapa BCA ID saya di blok ? padahal gak ngelakuin apa2 ,",-1,bca id di blok tidak ngelakuin,bca saya blok tidak apa
